trial,sigma,gap,method,n_missing,rmse,mae,bias
4,0.05,16,nearest,48,0.4500647261615707,0.280662978492189,0.20656465268662058
4,0.05,16,linear,48,0.36341602788035715,0.290452433024058,0.20656465268662058
5,0.05,16,locf,48,1.2997238034938638,1.149997394633713,0.11545188213671224
5,0.05,16,nearest,48,0.7467471647115893,0.5835054479411494,0.04415260057182829
5,0.05,16,linear,48,0.5881855912446725,0.4564130084586524,0.04415260057182822
6,0.05,16,locf,48,0.858352113769852,0.6680101187855104,-0.4811983201463154
6,0.05,16,nearest,48,0.4380939128721859,0.32211849721343194,-0.18693670118861358
6,0.05,16,linear,48,0.45782815411856204,0.3646998041369813,-0.18693670118861358
7,0.05,16,locf,48,0.894446993336878,0.7214693137752292,0.32612846302414306
7,0.05,16,nearest,48,0.4735084744285065,0.36204714774108915,0.1330704780544907
7,0.05,16,linear,48,0.34449622447649714,0.28605629243627145,0.13307047805449077
8,0.05,16,locf,48,1.085773095646453,0.8847674514559593,-0.27639298729780987
8,0.05,16,nearest,48,0.6268002096735185,0.5118070484762929,-0.1993429133272381
8,0.05,16,linear,48,0.6236946366695584,0.5211329378216525,-0.19934291332723808
9,0.05,16,locf,48,0.5384159677784822,0.40732291410259,0.30601088743135274
9,0.05,16,nearest,48,0.43294678091614835,0.2875650390272311,0.1840952942252455
9,0.05,16,linear,48,0.4219669299624475,0.2961526145733408,0.18409529422524554
10,0.05,16,locf,48,0.7529713092967739,0.5638030172372986,-0.11590832846229038
10,0.05,16,nearest,48,0.5666744321901758,0.4781080683322048,-0.06260101515613721
10,0.05,16,linear,48,0.5455950061010284,0.4419740604155571,-0.0626010151561372
11,0.05,16,locf,48,0.6450771273778441,0.4988608412905428,-0.030153975072122075
11,0.05,16,nearest,48,0.45604563276880833,0.3382783990344862,-0.10631499939698807
11,0.05,16,linear,48,0.4648000826034657,0.34087716391878947,-0.10631499939698809
12,0.05,16,locf,48,0.6457682064590543,0.5011822817228827,0.05086157993203391
12,0.05,16,nearest,48,0.47222631211610244,0.34232568650521217,0.16273680042924143
12,0.05,16,linear,48,0.4686406076304224,0.3333511265168394,0.16273680042924143
13,0.05,16,locf,48,0.4227577612434256,0.33660659643882473,-0.1332656969626642
13,0.05,16,nearest,48,0.6809650758111412,0.48247708050945365,-0.1199225548601351
13,0.05,16,linear,48,0.6202916638714222,0.4906803242916413,-0.11992255486013514
14,0.05,16,locf,48,0.49013868197089194,0.37664058096449815,0.27885094804691896
14,0.05,16,nearest,48,0.44604286937842974,0.2942741615921069,0.2044339149358152
14,0.05,16,linear,48,0.4456775067620425,0.31568144538799275,0.2044339149358152
15,0.05,16,locf,48,1.0692960243339813,0.9524086725794522,-0.36871565672386203
15,0.05,16,nearest,48,0.6452260317935034,0.4800306645781567,0.0360448281541243
15,0.05,16,linear,48,0.43767984970496776,0.3388755090488396,0.036044828154124284
16,0.05,16,locf,48,1.388368101490285,1.2623179125269177,-0.5536433091988434
16,0.05,16,nearest,48,0.8233684644556925,0.6917316035484958,-0.019633818484767623
16,0.05,16,linear,48,0.6604283246597199,0.5280191328282733,-0.019633818484767637
17,0.05,16,locf,48,0.8155919361452542,0.6407647743088313,-0.3666047201185761
17,0.05,16,nearest,48,0.5739659559346961,0.46290542165193044,-0.19672248122709926
17,0.05,16,linear,48,0.5745937676333702,0.47643565058368825,-0.19672248122709926
18,0.05,16,locf,48,0.7042583123615229,0.5589686419590664,-0.07217091558732466
18,0.05,16,nearest,48,0.6577673523215889,0.5210657308080311,0.09175480682684706
